Player;BirthPlace;Year
Todd Okerlund;United States;1987
Craig Janney;United States;1987
Mike Hudson;Canada;1987
Eric Germain;Canada;1987
Sylvain Lefebvre;Canada;1987
Geoff Smith;Canada;1987
Ken Baumgartner;Canada;1987
Troy Crowder;Canada;1987
Shaun Van Allen;Canada;1987
Kevin Kaminski;Canada;1987
Luke Richardson;Canada;1987
Dave Archibald;Canada;1987
Ronnie Stern;Canada;1987
Brent Gilchrist;Canada;1987
Mario Brunetta;Canada;1987
Robert Nordmark;Sweden;1987
Darren Turcotte;United States;1988
Tony Granato;United States;1988
Doug Weiss;United States;1988
Mike McHugh;United States;1988
Jack Capuano;United States;1988
Rich Pilon;Canada;1988
Randy McKay;Canada;1988
Bob Joyce;Canada;1988
Trevor Linden;Canada;1988
Don Sweeney;Canada;1988
Tim Cheveldae;Canada;1988
Bruce Racine;Canada;1988
Benoît Brunet;Canada;1988
Leif Rohlin;Sweden;1988
Peter Popovic;Sweden;1988
Mike Modano;United States;1989
Bob Beers;United States;1989
Paul Broten;United States;1989
Jamie Leach;Canada;1989
Blair Atcheynum;Canada;1989
André Racicot;Canada;1989
Rob Blake;Canada;1989
Peter Ing;Canada;1989
Tim Taylor;Canada;1989
Lyle Odelein;Canada;1989
Sheldon Kennedy;Canada;1989
Kris Draper;Canada;1989
Dan Keczmer;United States;1990
Lance Pitlick;United States;1990
Scott Lachance;United States;1990
Jere Lehtinen;Finland;1990
Owen Nolan;United Kingdom;1990
Mike Needham;Canada;1990
Scott Thornton;Canada;1990
Stéphane Fiset;Canada;1990
Stéphane Matteau;Canada;1990
Sean Whyte;Canada;1990
Brent Thompson;Canada;1990
Paul Kruse;Canada;1990
Michel Picard;Canada;1990
Gino Odjick;Canada;1990
Scott King;Canada;1990
Dean Malkoc;Canada;1990
Frank Breault;Canada;1990
Kevin Dean;United States;1991
Jim Dowd;United States;1991
Doug Weight;United States;1991
Ted Donato;United States;1991
Bill Guerin;United States;1991
Kimmo Timonen;Finland;1991
Jason York;Canada;1991
Patrice Brisebois;Canada;1991
Wes Walz;Canada;1991
Martin Brodeur;Canada;1991
Sean O'Donnell;Canada;1991
Scott Scissons;Canada;1991
Darryl Sydor;Canada;1991
Niklas Sundström;Sweden;1991
Steve Heinze;United States;1992
Saku Koivu;Finland;1992
Fredrik Norrena;Finland;1992
Jarkko Varvio;Finland;1992
Miroslav Satan;Slovakia;1992
Darren McCarty;Canada;1992
Tyler Wright;Canada;1992
Mark Ouimet;Canada;1992
Peter Ambroziak;Canada;1992
Richard Matvichuk;Canada;1992
Dixon Ward;Canada;1992
Matthew Barnaby;Canada;1992
Grant Marshall;Canada;1992
Darrin Madeley;Canada;1992
Martin Lapointe;Canada;1992
Daniel Alfredsson;Sweden;1992
Todd Marchant;United States;1993
Aaron Miller;United States;1993
Ian Moran;United States;1993
David Roberts;United States;1993
Nathan LaFayette;Canada;1993
Cale Hulse;Canada;1993
Jason Dawe;Canada;1993
Chris Pronger;Canada;1993
Marcel Cousineau;Canada;1993
Chris Gratton;Canada;1993
Jason Smith;Canada;1993
Cory Stillman;Canada;1993
Michael Peca;Canada;1993
Aaron Ward;Canada;1993
Ryan VandenBussche;Canada;1993
Mattias Norström;Sweden;1993
